Sale Date,Item Name,Quantity,Price,Coupon Code,Coupon Details,Discount Amount,Shipping Discount,Order Shipping,Order Sales Tax,Item Total,Currency,Transaction ID,Listing ID,Date Paid,Date Shipped,Order ID,Variations,Order Type,Listings Type,Payment Type,InPerson Discount,InPerson Location,VAT Paid by Buyer,SKU
06/07/25,Light the Beam Metal License Plate Frame,1,22.00,FINISHSTRONG,FINISHSTRONG - % off,4.70,8.49,0,0,22,USD,4626360283,1567796922,06/07/2025,06/11/2025,3710289159,,online,listing,online_cc,,,0,27605739636631367679
06/07/25,Sacramento Basketball - Light the Beam Tshirt - Beam Team,1,24.99,FINISHSTRONG,FINISHSTRONG - % off,0,0,0,0,24.99,USD,4609930468,1362831127,06/07/2025,06/11/2025,3710289159,"Colors:Black Heather,Sizes:L",online,listing,online_cc,,,0,13489290775345778661
05/16/25,Light the Beam Can-shaped glass,1,15.00,FINISHSTRONG,FINISHSTRONG - % off,4.00,8.69,0,0,15,USD,4598969885,1516475652,05/16/2025,05/18/2025,3689205561,,online,listing,online_cc,,,0,64C00E93E3341_17354
05/16/25,Sacramento Basketball - Light the Beam Tshirt - Beam Team,1,24.99,FINISHSTRONG,FINISHSTRONG - % off,0,0,0,0,24.99,USD,4583290954,1362831127,05/16/2025,05/18/2025,3689205561,"Colors:Black,Sizes:L",online,listing,online_cc,,,0,27869810051808310374
04/09/25,Light the Beam Long Sleeve Unisex Tshirt for Sacramento Kings Fan,1,30.00,,,0.00,0.00,4.35,0,30,USD,4539319692,1372856162,04/09/2025,04/11/2025,3647039004,"Sizes:M,Colors:Black",online,listing,online_cc,,,0,70919298342304375951
04/09/25,Light the Beam Holographic Die-cut Stickers - Sacramento Basketball,1,6.50,,,0.00,0.00,0,0,6.5,USD,4552375123,1363252265,04/09/2025,04/10/2025,3652862711,Sizes:3&quot; × 3&quot;,online,listing,online_cc,,,0,11035534965323231298
04/08/25,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4551442299,1567796922,04/08/2025,04/11/2025,3646082080,,online,listing,online_cc,,,0,27605739636631367679
03/30/25,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4539934713,1567796922,03/30/2025,04/02/2025,3643420661,,online,listing,online_cc,,,0,27605739636631367679
03/20/25,Light the Beam Metal License Plate Frame,1,18.00,FINISHSTRONG,FINISHSTRONG - % off,1.80,0.00,6.29,0,18,USD,4515028622,1567796922,03/20/2025,03/24/2025,3634236027,,online,listing,online_cc,,,0,27605739636631367679
03/06/25,Light the Beam Holographic Die-cut Stickers - Sacramento Basketball,3,6.50,,,0.00,0.00,1.25,0,19.5,USD,4496908392,1363252265,03/06/2025,03/07/2025,3614399198,Sizes:3&quot; × 3&quot;,online,listing,online_cc,,,0,11035534965323231298
02/22/25,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4482815838,1567796922,02/22/2025,02/25/2025,3610462633,,online,listing,online_cc,,,0,27605739636631367679
02/19/25,Light the Beam Can-shaped glass,1,15.00,,,0.00,0.00,6.49,0,15,USD,4493128675,1516475652,02/19/2025,02/20/2025,3600772824,,online,listing,online_cc,,,0,64C00E93E3341_17354
01/21/25,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4443026048,1567796922,01/21/2025,01/23/2025,3572577738,,online,listing,online_cc,,,0,27605739636631367679
01/19/25,Light the Beam Holographic Die-cut Stickers - Sacramento Basketball,1,6.50,,,0.00,0.00,0.75,0,6.5,USD,4440277840,1363252265,01/19/2025,01/21/2025,3576557133,Sizes:3&quot; × 3&quot;,online,listing,online_cc,,,0,11035534965323231298
01/03/25,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4420782794,1567796922,01/03/2025,01/08/2025,3561013445,,online,listing,online_cc,,,0,27605739636631367679
12/29/24,Light the Beam Fanny Pack - Sacramento Basketball Streetwear,1,20.00,,,0.00,0.00,5.39,0,20,USD,4415426564,1363544675,12/29/2024,01/02/2025,3551300210,,online,listing,online_cc,,,0,76828706842276497948
12/27/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4412104330,1567796922,12/27/2024,12/30/2024,3553962983,,online,listing,online_cc,,,0,27605739636631367679
12/24/24,Sacramento Basketball Light the Beam Poster,1,13.00,,,0.00,0.00,7.12,0,13,USD,4421962031,1367821188,12/24/2024,12/30/2024,3552165623,Sizes:12″ x 18″ (Vertical),online,listing,online_cc,,,0,23065091329031530555
12/23/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4408599304,1567796922,12/23/2024,12/27/2024,3546156014,,online,listing,online_cc,,,0,27605739636631367679
12/22/24,Light the Beam Scented Candle -  Sacramento Basketball,1,14.99,FINISHSTRONG,FINISHSTRONG - % off,1.50,0.00,7.29,0,14.99,USD,4407976702,1349246944,12/22/2024,12/23/2024,3545680704,,online,listing,online_cc,,,0,34976674295636878016
12/18/24,Sacramento Basketball- Light the Beam Sweatshirt - Beam Team,1,42.00,,,0.00,8.39,0,0,42,USD,4414430075,1380586661,12/18/2024,12/20/2024,3545889677,"Color:Black,Size:XL",online,listing,online_cc,,,0,cc-564-5007-100649445-24488
12/12/24,Light the Beam Beam Team Sacramento Basketball Tee,1,24.99,,,0.00,0.00,4.35,0,24.99,USD,4401355331,1358749930,12/12/2024,12/14/2024,3534900509,"Colors:Black,Sizes:XL",online,listing,online_cc,,,0,14101254656902120030
12/11/24,Light the Beam Long Sleeve Tshirt for Sacramento Basketball and Beam Team Fans,1,30.00,,,0.00,6.55,0,0,30,USD,4401002455,1380557691,12/11/2024,12/14/2024,3534610369,"Sizes:XL,Colors:Black",online,listing,online_cc,,,0,30903061863534735244
12/11/24,Light the Beam Long Sleeve Unisex Tshirt for Sacramento Kings Fan,1,30.00,,,0,0,0,0,30,USD,4389519714,1372856162,12/11/2024,12/14/2024,3534610369,"Sizes:XL,Colors:Black",online,listing,online_cc,,,0,24655068604849374659
12/11/24,Light the Beam Scented Candle -  Sacramento Basketball,2,14.99,,,0.00,0.00,11.18,0,29.98,USD,4388535634,1349246944,12/11/2024,12/12/2024,3530003442,,online,listing,online_cc,,,0,34976674295636878016
12/10/24,Sacramento Light The Beam Crown Die Cut Sticker,1,5.00,,,0.00,0.00,3.99,0,5,USD,4398022111,1608707534,12/10/2024,12/12/2024,3532156393,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
12/10/24,Mineral Wash Beam Team Social Club riff T-shirt for Sacramento Kings Fans,1,40.00,,,0.00,4.80,0,0,40,USD,4397716619,1391474687,12/10/2024,12/20/2024,3531905941,"Colors:Mineral Black,Sizes:L",online,listing,online_cc,,,0,11543623797411353043
12/10/24,Light the Beam Can-shaped glass,1,15.00,,,0.00,8.68,0,0,15,USD,4396808009,1516475652,12/10/2024,12/19/2024,3527402968,,online,listing,online_cc,,,0,64C00E93E3341_17354
12/10/24,Welcome to Hell  Mineral Wash Sacramento Basketball Tshirt featuring Sabonis,1,34.99,,,0,0,0,0,34.99,USD,4396808007,1432702507,12/10/2024,12/19/2024,3527402968,"Colors:Mineral Purple,Sizes:L",online,listing,online_cc,,,0,69736574661323203107
12/08/24,Sacramento Basketball - Light the Beam Tshirt - Beam Team,1,24.99,,,0.00,0.00,4.35,0,24.99,USD,4391264091,1362831127,12/08/2024,12/09/2024,3526536641,"Colors:Vintage Black,Sizes:M",online,listing,online_cc,,,0,19180578649625598796
12/07/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4377162876,1567796922,12/07/2024,12/08/2024,3524334021,,online,listing,online_cc,,,0,27605739636631367679
12/07/24,Mineral Wash Beam Team Social Club riff T-shirt for Sacramento Kings Fans,1,40.00,,,0.00,4.80,0,0,40,USD,4388161217,1391474687,12/07/2024,12/12/2024,3523938003,"Colors:Mineral Grey,Sizes:L",online,listing,online_cc,,,0,12646565247961627243
12/06/24,Beam Team Social Club riff Hoodie for Sacramento Kings Fans,1,50.00,,,0.00,8.39,0,0,50,USD,4388080339,1391468909,12/06/2024,12/08/2024,3523870831,"Color:Black,Size:XL",online,listing,online_cc,,,0,cc-541-4740-100740730-23090
12/06/24,Light the Beam Fanny Pack - Sacramento Basketball Streetwear,1,20.00,,,0.00,10.92,0,0,20,USD,4386240741,1363544675,12/06/2024,12/07/2024,3522342839,,online,listing,online_cc,,,0,76828706842276497948
12/06/24,Sacramento Light The Beam Crown Die Cut Sticker,1,5.00,,,0,0,0,0,5,USD,4386240739,1608707534,12/06/2024,12/07/2024,3522342839,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
12/06/24,Light the Beam Metal License Plate Frame,1,18.00,,,0,0,0,0,18,USD,4386240737,1567796922,12/06/2024,12/07/2024,3522342839,,online,listing,online_cc,,,0,27605739636631367679
12/06/24,Light the Beam Scented Candle -  Sacramento Basketball,1,14.99,,,0,0,0,0,14.99,USD,4386240735,1349246944,12/06/2024,12/07/2024,3522342839,,online,listing,online_cc,,,0,34976674295636878016
12/04/24,Sacramento Light The Beam Crown Die Cut Sticker,1,5.00,,,0.00,0.00,3.99,0,5,USD,4382502469,1608707534,12/04/2024,12/06/2024,3516049914,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
12/02/24,Sacramento Light The Beam Crown Die Cut Sticker,1,5.50,,,0.00,0.00,3.99,0,5.5,USD,4364701552,1608707534,12/02/2024,12/05/2024,3514210403,Size:4″×4″,online,listing,online_cc,,,0,6567BA43C16EE_10164
11/29/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4355917998,1567796922,11/29/2024,11/30/2024,3504475442,,online,listing,online_cc,,,0,27605739636631367679
11/28/24,Sacramento Light The Beam Crown Die Cut Sticker,2,5.00,,,0.00,0.00,4.04,0,10,USD,4353879874,1608707534,11/28/2024,12/03/2024,3502965170,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
11/25/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4357249219,1567796922,11/25/2024,11/26/2024,3498933509,,online,listing,online_cc,,,0,27605739636631367679
11/23/24,Sacramento Basketball Light the Beam Poster,1,7.50,,,0.00,0.00,7.12,0,7.5,USD,4353808819,1367821188,11/23/2024,11/25/2024,3496175265,Sizes:8″ x 10″ (Vertical),online,listing,online_cc,,,0,21994195102281881492
11/17/24,Light the Beam Text Wall Flag for Sacramento Basketball Fans,1,29.99,FINISHSTRONG,FINISHSTRONG - % off,3.00,0.00,4.69,0,29.99,USD,4341235775,1410885998,11/17/2024,11/20/2024,3486116323,,online,listing,online_cc,,,0,63F9202C98B99_12584
11/14/24,Sacramento Light The Beam Crown Die Cut Sticker,1,5.00,,,0.00,0.00,3.99,0,5,USD,4336308467,1608707534,11/14/2024,11/14/2024,3482221037,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
11/11/24,Beam Team Snapback Hat,1,24.99,FINISHSTRONG,FINISHSTRONG - % off,2.50,0.00,4.69,0,24.99,USD,4321656374,1426285858,11/11/2024,11/13/2024,3478654042,Color:Black,online,listing,online_cc,,,0,64139F8498F1A_4468
11/07/24,Light the Beam Metal License Plate Frame,2,18.00,,,0.00,7.48,0,0,36,USD,4324004605,1567796922,11/07/2024,11/11/2024,3473798024,,online,listing,online_cc,,,0,27605739636631367679
10/23/24,Beam Team Embroidered patches,1,12.99,,,0.00,0.00,3.99,0,12.99,USD,4303493051,1426347210,10/23/2024,10/25/2024,3459339022,,online,listing,online_cc,,,0,6413B8D910E80_15563
10/22/24,Beam Team Social Club riff T-shirt for Sacramento Kings Fans,1,29.99,,,0.00,0.00,4.35,0,29.99,USD,4301791465,1377408952,10/22/2024,10/22/2024,3458160298,"Colors:Black,Sizes:L",online,listing,online_cc,,,0,28350085669950334165
10/20/24,Light the Beam Metal License Plate Frame,1,18.00,FINISHSTRONG,FINISHSTRONG - % off,1.80,0.00,6.29,0,18,USD,4300083571,1567796922,10/20/2024,10/23/2024,3456959548,,online,listing,online_cc,,,0,27605739636631367679
10/18/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4297457211,1567796922,10/18/2024,10/21/2024,3455150568,,online,listing,online_cc,,,0,27605739636631367679
10/16/24,"Light The Beam Tote Bag, Sacramento Basketball, Beam Team",1,15.00,,,0.00,0.00,5.09,0,15,USD,4294038803,1366592818,10/16/2024,10/17/2024,3448854939,Size:Small,online,listing,online_cc,,,0,31227392266486884094
10/11/24,Light The Beam Crown Die Cut Sticker,1,5.50,,,0.00,0.00,3.99,0,5.5,USD,4280810572,1608707534,10/11/2024,10/15/2024,3443468379,Size:4″×4″,online,listing,online_cc,,,0,6567BA43C16EE_10164
10/10/24,Sacramento Basketball Sticker Pack,1,8.99,FINISHSTRONG,FINISHSTRONG - % off,0.90,0.00,4.79,0,8.99,USD,4280355754,1393807246,10/10/2024,10/11/2024,3447629228,"Sizes:6&quot; × 4&quot;,Types:Transparent",online,listing,online_cc,,,0,26596677102315992628
09/29/24,Light the Beam Can-shaped glass,2,15.00,,,0.00,0.00,8.49,0,30,USD,4266614694,1516475652,09/29/2024,10/01/2024,3431839573,,online,listing,online_cc,,,0,64C00E93E3341_17354
09/21/24,Light the Beam Holographic Die-cut Stickers - Sacramento Basketball,1,6.50,,,0.00,0.00,0.75,0,6.5,USD,4255497124,1363252265,09/21/2024,09/21/2024,3423187345,Sizes:3&quot; × 3&quot;,online,listing,online_cc,,,0,11035534965323231298
09/20/24,Light the Beam Text Wall Flag for Sacramento Basketball Fans,1,29.99,FINISHSTRONG,FINISHSTRONG - % off,3.00,0.00,4.69,0,29.99,USD,4254300994,1410885998,09/20/2024,09/24/2024,3427612050,,online,listing,online_cc,,,0,63F9202C98B99_12584
09/19/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,8.69,0,0,18,USD,4259438673,1567796922,09/19/2024,09/20/2024,3427268494,,online,listing,online_cc,,,0,27605739636631367679
09/19/24,Welcome to Hell - Sabonis - Vintage Style Sacramento Basketball Tshirt,1,29.99,,,0,0,0,0,29.99,USD,4253858396,1432703027,09/19/2024,09/20/2024,3427268494,"Colors:Silver,Sizes:2XL",online,listing,online_cc,,,0,33329169505648877197
09/02/24,Beam Team Embroidered patches,1,12.99,,,0.00,0.00,3.99,0,12.99,USD,4231512524,1426347210,09/02/2024,09/05/2024,3410177388,,online,listing,online_cc,,,0,6413B8D910E80_15563
08/01/24,Light the Beam Text Wall Flag for Sacramento Basketball Fans,1,29.99,,,0.00,0.00,4.69,0,29.99,USD,4192719579,1410885998,08/01/2024,08/07/2024,3371067465,,online,listing,online_cc,,,0,63F9202C98B99_12584
07/29/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,0.00,6.29,0,18,USD,4187149360,1567796922,07/29/2024,08/01/2024,3375838646,,online,listing,online_cc,,,0,27605739636631367679
07/25/24,Welcome to Hell - Sabonis - Vintage Style Sacramento Basketball Tshirt,1,29.99,,,0.00,0.00,4.75,0,29.99,USD,4183639893,1432703027,07/25/2024,07/28/2024,3371432086,"Colors:Vintage Black,Sizes:L",online,listing,online_cc,,,0,78124615534348910983
07/24/24,Light the Beam Metal License Plate Frame,2,18.00,,,0.00,7.48,0,0,36,USD,4180107698,1567796922,07/24/2024,07/26/2024,3370505030,,online,listing,online_cc,,,0,27605739636631367679
07/12/24,Mineral Wash Beam Team Social Club riff T-shirt for Sacramento Kings Fans,1,40.00,,,0.00,4.80,0,0,40,USD,4165786374,1391474687,07/12/2024,07/16/2024,3352454433,"Colors:Mineral Black,Sizes:L",online,listing,online_cc,,,0,11543623797411353043
07/11/24,Light The Beam Crown Die Cut Sticker,1,5.00,,,0.00,0.00,3.99,0,5,USD,4164633046,1608707534,07/11/2024,07/16/2024,3358499906,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
07/10/24,Mineral Wash Beam Team Social Club riff T-shirt for Sacramento Kings Fans,1,40.00,,,0.00,4.80,0,0,40,USD,4164286068,1391474687,07/10/2024,07/12/2024,3351229711,"Colors:Mineral Black,Sizes:XL",online,listing,online_cc,,,0,26390725115418237019
06/23/24,Sacramento Basketball Sticker Pack,1,13.99,FINISHSTRONG,FINISHSTRONG - % off,1.40,0.00,9.99,0,13.99,USD,4143553436,1393807246,06/23/2024,06/24/2024,3335268687,"Sizes:8.5&quot; × 11&quot;,Types:White",online,listing,online_cc,,,0,44319090067557825456
06/20/24,Welcome to Hell  Mineral Wash Sacramento Basketball Tshirt featuring Sabonis,1,34.99,,,0.00,0.00,5.19,0,34.99,USD,4141122509,1432702507,06/20/2024,06/21/2024,3339213272,"Colors:Mineral Black,Sizes:L",online,listing,online_cc,,,0,12998726163207476101
06/02/24,Light The Beam Crown Die Cut Sticker,1,5.00,,,0.00,0.00,3.99,0,5,USD,4118253075,1608707534,06/02/2024,06/04/2024,3315292923,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
06/02/24,Light The Beam Crown Die Cut Sticker,1,5.00,,,0.00,0.00,3.99,0,5,USD,4117992213,1608707534,06/02/2024,06/05/2024,3315093383,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
05/23/24,Light The Beam Crown Die Cut Sticker,1,5.00,,,0.00,0.00,3.99,0,5,USD,4105499222,1608707534,05/23/2024,05/24/2024,3312103250,Size:3″×3″,online,listing,online_cc,,,0,6567BA43C16EE_10163
05/19/24,Sacramento Basketball Sticker Pack,1,8.99,,,0.00,0.00,4.79,0,8.99,USD,4101069755,1393807246,05/19/2024,05/20/2024,3302068119,"Sizes:6&quot; × 4&quot;,Types:White",online,listing,online_cc,,,0,10096956804691803561
05/03/24,Light the Beam Scented Candle -  Sacramento Basketball,1,14.99,,,0.00,0.00,7.29,0,14.99,USD,4078978534,1349246944,05/03/2024,05/03/2024,3291042876,,online,listing,online_cc,,,0,34976674295636878016
04/27/24,Light The Beam Crown Die Cut Sticker,1,6.50,,,0.00,0.00,3.99,0,6.5,USD,4072228401,1608707534,04/27/2024,04/30/2024,3284919740,Size:5.5″×5.5″,online,listing,online_cc,,,0,6567BA43C16EE_10165
04/20/24,Light the Beam Sacramento Basketball Women's Tie-Dye Crop Tee,1,29.99,FINISHSTRONG,FINISHSTRONG - % off,3.00,0.00,5.19,0,29.99,USD,4061755771,1434851421,04/20/2024,04/22/2024,3276625706,"Colors:Lagoon,Sizes:S",online,listing,online_cc,,,0,24879112500902515686
04/20/24,Light The Beam Crown Die Cut Sticker,1,6.50,,,0.00,0.00,3.99,0,6.5,USD,4060315140,1608707534,04/20/2024,04/23/2024,3272306045,Size:5.5″×5.5″,online,listing,online_cc,,,0,6567BA43C16EE_10165
04/18/24,Light the Beam Metal License Plate Frame,1,18.00,,,0.00,8.49,0,0,18,USD,4059157635,1567796922,04/18/2024,04/20/2024,3270334443,,online,listing,online_cc,,,0,27605739636631367679
04/18/24,Light the Beam Sacramento Basketball Tee,1,24.99,,,0,0,0,0,24.99,USD,4059157633,1349153380,04/18/2024,04/20/2024,3270334443,"Colors:Vintage Black,Sizes:M",online,listing,online_cc,,,0,11177477330863715167
04/17/24,Mineral Wash Beam Team Social Club riff T-shirt for Sacramento Kings Fans,1,40.00,,,0.00,4.80,0,0,40,USD,4058189333,1391474687,04/17/2024,04/19/2024,3273840322,"Colors:Mineral Black,Sizes:L",online,listing,online_cc,,,0,11543623797411353043
04/09/24,Light The Beam Crown Die Cut Sticker,1,6.50,,,0.00,0.00,3.99,0,6.5,USD,4047765031,1608707534,04/09/2024,04/10/2024,3261438535,Size:5.5″×5.5″,online,listing,online_cc,,,0,6567BA43C16EE_10165
04/07/24,Light the Beam Sacramento Basketball Women's Tie-Dye Crop Tee,1,29.99,,,0.00,7.38,0,0,29.99,USD,4045811163,1434851421,04/07/2024,04/09/2024,3264746114,"Colors:Desert Rose,Sizes:M",online,listing,online_cc,,,0,17745019232823652249
